event_id,time_epoch,magnitude,place,latitude,longitude,depth_km,updated_epoch,alert,status,timestamp,is_mainshock,aftershock_of_event_id,dt_days,dr_km
ci3259517,827876676740,3.12,"2km SW of San Marcos, California",33.129,-117.179,-0.543,1455230394263,,reviewed,1996-03-26 21:44:36.740000+00:00,False,,,
nc30100548,827918834490,2.65,"10 km WSW of Three Rocks, California",36.4528333,-120.4865,11.187,1482575759020,,reviewed,1996-03-27 09:27:14.490000+00:00,False,,,
ci3259963,828203121210,2.6,"23km ENE of Thermal, California",33.738,-115.92,6.259,1455339375648,,reviewed,1996-03-30 16:25:21.210000+00:00,False,,,
ci3260068,828231755920,2.73,"23km ENE of Thermal, California",33.738,-115.922,7.119,1455312079128,,reviewed,1996-03-31 00:22:35.920000+00:00,False,,,
nc1223530,828293962390,2.82,"10 km NNE of Three Rocks, California",36.5936667,-120.3621667,4.939,1482582244966,,reviewed,1996-03-31 17:39:22.390000+00:00,False,,,
ci3260358,828348515750,2.94,"11km N of Yucca Valley, California",34.215,-116.439,3.092,1455230440682,,reviewed,1996-04-01 08:48:35.750000+00:00,False,,,
ci3260400,828369456070,2.58,"1km NNW of San Clemente Is. (NW tip), California",33.038,-118.61,-0.235,1455220599405,,reviewed,1996-04-01 14:37:36.070000+00:00,False,,,
ci3260451,828416820350,3.27,"23km ENE of Thermal, California",33.738,-115.922,6.339,1455274849475,,reviewed,1996-04-02 03:47:00.350000+00:00,False,,,
ci3260477,828433556240,2.85,"12km NE of Simi Valley, California",34.359,-118.658,13.397,1455230451181,,reviewed,1996-04-02 08:25:56.240000+00:00,False,,,
ci3260579,828495577710,2.83,"23km ENE of Thermal, California",33.738,-115.922,6.219,1455248547877,,reviewed,1996-04-03 01:39:37.710000+00:00,False,,,
ci3260711,828583098480,2.54,"14km NNE of Ridgecrest, California",35.739,-117.63,4.607,1455293518140,,reviewed,1996-04-04 01:58:18.480000+00:00,False,,,
ci3260757,828623322940,2.52,"49km WSW of Carlsbad, California",32.971,-117.826,5.806,1455265852271,,reviewed,1996-04-04 13:08:42.940000+00:00,False,,,
ci3260934,828785487700,2.74,"14km WNW of Calipatria, California",33.175,-115.654,4.769,1455348449015,,reviewed,1996-04-06 10:11:27.700000+00:00,False,,,
ci3260962,828806777670,2.5,"9km SW of Niland, California",33.193,-115.602,3.689,1455321171413,,reviewed,1996-04-06 16:06:17.670000+00:00,False,,,
ci3261044,828877590740,2.55,"7km NNW of Pacoima, California",34.34,-118.458,3.088,1455230476939,,reviewed,1996-04-07 11:46:30.740000+00:00,False,,,
ci3261066,828900497260,3.04,"12km NE of Simi Valley, California",34.361,-118.657,13.482,1455230479904,,reviewed,1996-04-07 18:08:17.260000+00:00,False,,,
ci3261089,828915887200,3.06,"30km N of Yucca Valley, California",34.378,-116.461,-0.174,1455312116095,,reviewed,1996-04-07 22:24:47.200000+00:00,False,,,
